country,city,Year,pm25
India,Muzaffarpur,2015,196.69
Bhutan,Pasakha,2015,149.8631313
India,Delhi,2015,123.12
Egypt,Greater Cairo,2015,116.5510043
India,Varanasi,2015,115.345
India,Agra,2015,114.82
India,Kanpur,2015,107.92
India,Lucknow,2015,107.6366667
China,Baoding,2015,107
Kuwait,Ali Subah Al-Salem,2015,105.2614165
Kuwait,Al-Shuwaikh,2015,102.5472489
Egypt,Delta Region,2015,102.1873242
China,Xingtai,2015,101
China,Dezhou,2015,101
China,Liaocheng,2015,101
China,Hengshui,2015,99
Bangladesh,Narayangonj,2015,94.2
China,Heze,2015,94
China,Zaozhuang,2015,92
China,Handan,2015,91
China,Shijiazhuang,2015,89
China,Zhengzhou,2015,88
China,Jiaozuo,2015,87
China,Jinan,2015,87
Iraq,Baghdad,2015,85.41348096
China,Langfang,2015,85
China,Tangshan,2015,85
Ghana,Accra,2015,84.45671102
China,Laiwu,2015,84
Bangladesh,Khulna,2015,83.6
China,Ji'ning,2015,82
Bangladesh,Dhaka,2015,81.56666667
India,Patiala,2015,81.51
Bangladesh,Gazipur,2015,81.2
Kuwait,Saad Al-Abdullah,2015,80.750131
China,Beijing,2015,80.6
Bangladesh,Barisal,2015,80
Kuwait,Al-Ahmadi,2015,79.35661527
China,Dongying,2015,79
India,Faridabad,2015,77.195
China,Binzhou,2015,77
China,Sanmenxia,2015,75
China,Zigong,2015,73
China,Shenyang,2015,72
China,Anshan,2015,72
Kuwait,Al-Salam,2015,71.21696263
China,Cangzhou,2015,70
China,Harbin,2015,70
China,Tianjin,2015,70
China,Wuhan,2015,70
China,Jingzhou,2015,70
China,Tai'an,2015,69
Saudi Arabia,Yanbu,2015,69
Saudi Arabia,Riyadh,2015,69
Kuwait,Al-Mansouriya,2015,67.67726581
Saudi Arabia,Jubail,2015,67
India,Mumbai,2015,66.19342366
China,Urumqi,2015,66
China,Hefei,2015,66
China,Changchun,2015,66
Montenegro,Pljevlja,2015,65.88279078
Bangladesh,Chittagong,2015,65.6
India,Ahmedabad,2015,65.39
Peru,Puente Piedra,2015,65.29886835
China,Xuzhou,2015,65
China,Xianyang,2015,64
China,Chengdu,2015,64
United Arab Emirates,Al Gharbia,2015,62.9375423
China,Taiyuan,2015,62
United Arab Emirates,Abu Dhabi,2015,61.4560313
Saudi Arabia,Dammam,2015,61
China,Wuxi,2015,61
China,Suqian,2015,61
China,Luzhou,2015,61
China,Ma'anshan,2015,61
China,Changsha,2015,61
Bangladesh,Sylhet,2015,61
China,Jinzhou,2015,60
China,Taizhou(Jiangsu Province),2015,60
China,Wei'nan,2015,60
Kuwait,Al-Fahaheel,2015,59.91834729
Kuwait,Al-Mutla,2015,59.01820529
China,Zhenjiang,2015,59
China,Jilin,2015,59
China,Linfen,2015,59
China,Changzhou,2015,59
China,Huai'an,2015,58
China,Wuhu,2015,58
China,Tongchuan,2015,58
China,Suzhou,2015,58
China,Nantong,2015,58
China,Yibin,2015,58
China,Xi'an,2015,57
Mongolia,Ulaanbaatar,2015,57
China,Rizhao,2015,57
China,Nanjing,2015,57
China,Hangzhou,2015,57
China,Chongqing,2015,57
China,Baoji,2015,57
China,Benxi,2015,56
China,Shaoxing,2015,56
China,Xiangtan,2015,56
China,Yangzhou,2015,55
China,Zhuzhou,2015,55
China,Lianyungang,2015,55
China,Jinhua,2015,54
China,Huludao,2015,54
China,Huzhou,2015,54
India,Panchkula,2015,53.93
India,Guwahati,2015,53.71680868
China,Zhangjiajie,2015,53
China,Deyang,2015,53
China,Fushun,2015,53
China,Jiaxing,2015,53
China,Shanghai,2015,53
Jordan,Al-Zarqa',2015,52.73522552
China,Lanzhou,2015,52
China,Changde,2015,52
India,Kolkata,2015,51.73471521
China,Yinchuan,2015,51
China,Guilin,2015,51
China,Qingdao,2015,51
India,Chennai,2015,50.6133127
Kuwait,Al-Rumaithyia,2015,50.45688796
United Arab Emirates,Al Ain,2015,50.20448188
India,Pune,2015,50.11083333
